c0,c1,c2,c3,Requested_tolerance,estimated_error,l0,l1,l2,l3,Total_retrieve_size,MaxErr,MSE,PSNR
2.52,0.66,0.69,1.31,9953.48,9190.4,12,7,5,4,2119565,5584.2,580901,42.3185
3.83,2.89,1.76,3.56,9953.48,9585.6,14,10,7,5,6083395,2152.43,142464,48.4225
2.97,2.61,1.64,5.22,9953.48,7453.76,14,10,7,6,9766678,1504.37,61128.9,52.097
3.48,3.61,2.94,3.05,9953.48,9830.4,14,10,7,5,6083395,2152.43,142464,48.4225
5.15,3.09,4.12,5.48,9953.48,8198.88,15,10,8,6,10784266,1053.47,46324.6,53.3014
4.52,4.83,0.92,2.07,9953.48,6886.4,14,10,6,5,5389452,2807.67,196109,47.0345
4.24,0.19,3.35,2.95,9953.48,8281.6,14,6,8,5,6390421,2593.8,189204,47.1902
2.72,0.09,5.37,4.94,9953.48,8079.36,14,6,8,6,10073704,1998.28,109050,49.5832
4.07,1.33,2.06,4.18,9953.48,6795.36,15,9,7,6,9596197,1454.66,62084.2,52.0297
3.38,5.03,3.17,3.09,9953.48,8703.36,14,10,8,5,7061079,1818.39,127171,48.9156
1.72,2.17,0.9,2.24,9953.48,7096.32,13,9,6,5,5140778,2741.68,197256,47.0092
1.99,1.72,4.81,0.65,9953.48,8595.84,13,8,7,4,3453930,3833.64,377764,44.1873
1.7,0.18,4.25,1.64,9953.48,9370.88,13,6,8,4,4157204,4768.91,421462,43.7119
0.93,4.65,3.69,5.33,9953.48,8001.92,13,10,8,6,10706073,1052.29,46501.1,53.2849
4.73,3.2,2.7,0.85,9953.48,7216.96,14,9,7,4,3678082,3793.02,374187,44.2286
1.85,0.53,5.53,3.79,9953.48,9508.16,14,8,9,5,7888792,1803.46,127308,48.9109
2.45,0.43,2.11,5.1,9953.48,7681.6,14,8,7,6,9370430,1472.87,65526.8,51.7953
4.31,2.18,5.53,3.57,9953.48,9075.04,15,10,9,5,8324944,1796.38,122975,49.0613
0.31,4.17,2.04,4.05,9953.48,6542.72,12,11,7,6,9923651,1459.66,61741.1,52.0538
3.28,3.42,5.48,2.84,9953.48,9602.56,14,9,8,5,6850694,1828.19,128194,48.8808
5.13,1.46,3.24,3.07,9953.48,8402.08,15,9,8,5,6890598,1831.19,128181,48.8813
1.76,5.42,5.3,1.51,9953.48,9704.96,13,10,8,4,4827862,3634.56,358782,44.4112
4.28,3.18,0.92,1.96,9953.48,6442.24,14,10,6,5,5389452,2807.67,196109,47.0345
5.33,4.18,2.91,0.05,9953.48,9675.12,13,9,6,0,1584592,11148.5,576744,42.3497
3.48,3.54,2.62,4.16,9953.48,6110.08,15,10,8,6,10784266,1053.47,46324.6,53.3014
1.83,0.64,4.82,2.26,9953.48,7541.12,13,8,8,5,6626542,1880.37,131706,48.7635
2.6,2.37,3.35,2.25,9953.48,8728.32,14,9,7,5,5873010,2151.35,143568,48.3889
2.11,4.2,0.93,0.32,9953.48,9121.28,11,8,5,3,1190581,7755.52,768766,41.1016
4.34,5.34,2.59,1.17,9953.48,9089.28,13,9,7,4,3639793,3819.02,374368,44.2265
