c0,c1,c2,c3,Requested_tolerance,estimated_error,l0,l1,l2,l3,Total_retrieve_size,MaxErr,MSE,PSNR
5.48,2.48,3.34,1.88,11586.2,9241.6,7,7,9,8,21207,1467.63,31.4755,86.2991
5.42,2.43,0.03,5.32,11586.2,7877.12,7,7,5,9,21740,9651.43,88.0986,81.8291
5.21,5.49,5.19,0.11,11586.2,11261.4,6,7,9,5,12646,9270.57,71.89,82.7122
3.72,4.5,1.35,4.55,11586.2,10204.2,7,7,8,9,24501,1578.88,33.7538,85.9956
5.33,4.18,2.91,0.05,11586.2,11102.7,6,7,8,4,9204,19882.6,130.504,80.1226
2.52,0.66,0.69,1.31,11586.2,10833.9,5,5,7,7,9457,4070.19,82.1462,82.133
0.28,3.37,4.56,0.53,11586.2,11023.4,4,7,9,6,13676,5856.62,67.6155,82.9784
3.38,1.98,3.79,4.02,11586.2,9443.84,7,7,9,9,27203,1232.9,27.791,86.8398
5.2,1.51,5.46,2.96,11586.2,11069.4,7,6,10,8,24279,1561.51,32.9258,86.1035
5.38,4.48,0.92,5.45,11586.2,10447.4,7,7,8,9,24501,1578.88,33.7538,85.9956
3.52,3.19,3.28,4.34,11586.2,9886.72,7,7,9,9,27203,1232.9,27.791,86.8398
0.76,2.35,3.37,1.2,11586.2,11161.6,5,6,9,7,14491,3147.12,51.3612,84.1725
4.43,1.41,3.46,1.67,11586.2,8974.08,7,6,9,8,19910,1614.92,37.4023,85.5499
4.15,1.89,1.78,1.82,11586.2,9839.36,7,6,8,8,17208,2250.42,43.3784,84.9061
3.83,2.89,1.76,3.56,11586.2,11063,7,7,9,8,21207,1467.63,31.4755,86.2991
2.06,0.68,3.83,0.53,11586.2,10711,5,5,9,6,11811,5614.84,79.2682,82.2878
3.63,5.35,4.69,5.07,11586.2,10796.8,7,7,10,9,31572,1076.34,23.3232,87.601
3.51,4.05,2.99,4.25,11586.2,9936.64,7,7,9,9,27203,1232.9,27.791,86.8398
3.52,2.21,4.41,4.19,11586.2,10388.5,7,7,9,9,27203,1232.9,27.791,86.8398
1.99,1.72,4.81,0.65,11586.2,10368,5,6,9,7,14491,3147.12,51.3612,84.1725
2.42,0.2,3.35,1.69,11586.2,11381.8,6,5,9,7,14208,3159.11,60.3415,83.4727
0.31,4.17,2.04,4.05,11586.2,8529.92,5,7,9,9,26184,1232.9,33.3991,86.0415
2.45,4.78,1.64,1.75,11586.2,10017.3,6,7,8,8,17917,2066.06,40.4065,85.2143
0.71,0.65,5.14,2.45,11586.2,11310.1,5,6,9,8,18891,1806.92,43.0277,84.9414
2.32,3.21,3.83,1.63,11586.2,9497.6,6,7,9,8,20619,1504.38,34.4673,85.9048
0.9,4.77,1.09,1.6,11586.2,8412.16,5,7,8,8,17486,2066.06,43.0699,84.9371
1.3,0.43,5.35,0.68,11586.2,9809.92,5,5,9,7,13777,3332.06,62.9454,83.2892
4.9,0.35,2.6,4.04,11586.2,8143.36,7,5,9,9,25192,1556.83,45.3751,84.7107
1.83,3.01,1.22,5.53,11586.2,10170.9,6,7,8,9,23913,1614.88,36.7337,85.6282
3.51,4.67,4.62,1.64,11586.2,10929.9,7,7,9,8,21207,1467.63,31.4755,86.2991
4.52,4.83,0.92,2.07,11586.2,9175.04,7,7,8,8,18505,2066.06,37.4279,85.5469
4.31,2.18,5.53,3.57,11586.2,8154.88,7,7,10,9,31572,1076.34,23.3232,87.601
2.39,5.29,4.52,1.83,11586.2,9382.4,6,7,10,8,24988,1441.18,29.9733,86.5115
5.38,3.3,0.98,5.45,11586.2,9966.08,7,7,8,9,24501,1578.88,33.7538,85.9956
2.55,4.26,2.09,2.12,11586.2,11456,6,7,8,8,17917,2066.06,40.4065,85.2143
4.34,2.75,3.88,4.75,11586.2,10800.6,7,7,9,9,27203,1232.9,27.791,86.8398
4.07,1.33,2.06,4.18,11586.2,8272.64,7,6,9,9,25906,1556.83,33.7102,86.0012
0.7,0.14,4.88,4.6,11586.2,10639.4,5,4,9,9,23744,3480.35,63.1695,83.2738
3.24,1.15,4.32,2.51,11586.2,11571.2,6,6,9,8,19322,1632.33,40.3828,85.2169
1.27,0.59,5.38,2.92,11586.2,9664,6,6,10,8,23691,1603.2,35.8963,85.7283
4.15,1.79,2.11,2.7,11586.2,10054.4,7,6,9,8,19910,1614.92,37.4023,85.5499
4.02,1.06,1.56,2.79,11586.2,11023.4,6,6,8,8,16620,2145.77,46.3457,84.6187
4.82,2.9,5.34,4.75,11586.2,9699.84,7,7,10,9,31572,1076.34,23.3232,87.601
1,2.23,3.29,1.28,11586.2,11407.4,5,6,9,7,14491,3147.12,51.3612,84.1725
1.95,2.96,2.56,5.17,11586.2,9930.24,6,7,9,9,26615,1232.9,30.784,86.3956
0.79,1.75,2.61,2.93,11586.2,10869.8,5,6,9,8,18891,1806.92,43.0277,84.9414
3.55,0.87,1.59,3.9,11586.2,8595.2,7,6,8,9,23204,1768.2,39.6967,85.2913
1.36,2.48,0.78,2.48,11586.2,11509.8,5,6,7,8,14571,3306.04,62.9598,83.2882
4.26,5.02,1.61,2.22,11586.2,11504.6,6,7,8,8,17917,2066.06,40.4065,85.2143
4.29,3.27,3.28,3.36,11586.2,9022.72,7,7,9,9,27203,1232.9,27.791,86.8398
4,3.25,3.8,3.14,11586.2,9282.56,7,7,9,9,27203,1232.9,27.791,86.8398
4.57,3.83,2.81,2.07,11586.2,9662.72,7,7,9,8,21207,1467.63,31.4755,86.2991
0.75,3.02,1.54,5.45,11586.2,10665,5,7,8,9,23482,1515.08,39.3912,85.3248
2.93,1.58,4.33,1.57,11586.2,10017.3,6,6,9,8,19322,1632.33,40.3828,85.2169
2.41,3.55,0.15,2.22,11586.2,8209.92,6,7,6,8,15621,5328.48,70.1797,82.8167
4.7,4.3,3.31,4.76,11586.2,11066.9,7,7,9,9,27203,1232.9,27.791,86.8398
0.61,4.16,2.5,1.73,11586.2,8545.28,5,7,9,8,20188,1515.58,37.0882,85.5865
1.05,2.27,3.09,1.43,11586.2,10721.3,5,7,9,7,15788,2875.82,45.4287,84.7055
2.65,2.97,5,1.58,11586.2,10554.9,6,7,9,8,20619,1504.38,34.4673,85.9048
3.5,0.63,0.55,2.83,11586.2,10234.9,6,5,7,8,14288,3900.63,72.1394,82.6971
2.97,2.61,1.64,5.22,11586.2,10800.6,6,7,8,9,23913,1614.88,36.7337,85.6282
1.05,4.5,4.65,1.89,11586.2,11473.9,5,7,9,8,20188,1515.58,37.0882,85.5865
0.11,4.28,0.53,5.04,11586.2,9635.84,4,7,7,9,21718,3024.3,59.0875,83.5639
3.77,3.05,4.22,5.2,11586.2,9529.6,7,7,10,9,31572,1076.34,23.3232,87.601
4.74,1.01,0.57,2.46,11586.2,9620.48,6,6,7,8,15002,3306.04,60.3377,83.4729
0.26,2.54,2.2,2.59,11586.2,11376.6,4,7,8,8,17340,2066.06,48.9889,84.3779
4.82,4.7,4.97,2.7,11586.2,11097.6,7,7,10,8,25576,1351.11,26.9915,86.9666
1.81,0.22,4.43,1.5,11586.2,8522.24,6,5,9,8,18608,1987.22,52.1213,84.1087
3.8,0.27,0.58,0.1,11586.2,11079.7,5,4,6,4,4037,20579.9,192.018,78.4454
0.75,0.52,3.33,1.31,11586.2,10224.6,5,5,9,7,13777,3332.06,62.9454,83.2892
3.78,1.76,2.56,4.19,11586.2,9198.08,7,6,9,9,25906,1556.83,33.7102,86.0012
3.9,3.17,3.08,1.34,11586.2,11264,6,7,9,7,16219,2794.42,42.8156,84.9628
2.45,0.43,2.11,5.1,11586.2,11051.5,6,5,8,9,21902,2260.23,54.4708,83.9172
1.16,3.3,1.62,1.77,11586.2,9226.24,5,7,8,8,17486,2066.06,43.0699,84.9371
2.21,2.8,5.32,2.87,11586.2,10601,6,7,10,8,24988,1441.18,29.9733,86.5115
1.32,3.26,0.19,3.24,11586.2,10537,5,7,6,8,15190,5328.48,72.8007,82.6575
2.55,3.69,1.65,3.07,11586.2,10519,6,7,9,8,20619,1504.38,34.4673,85.9048
3.23,3.36,1.55,0.28,11586.2,9735.68,6,6,8,6,10254,5747.17,70.9508,82.7693
1.76,5.42,5.3,1.51,11586.2,9031.68,6,7,10,8,24988,1441.18,29.9733,86.5115
0.14,0.09,3.03,4.16,11586.2,7874.56,4,4,9,9,23598,3480.35,69.0551,82.8869
1.74,2.86,5.21,0.56,11586.2,11448.3,5,6,9,7,14491,3147.12,51.3612,84.1725
5.33,0.98,3.13,4.65,11586.2,9652.48,7,6,9,9,25906,1556.83,33.7102,86.0012
0.78,2.67,4.84,2.96,11586.2,10306.6,5,7,10,8,24557,1459.11,32.6209,86.1439
4.78,2.7,4.74,3.09,11586.2,10749.4,7,7,10,8,25576,1351.11,26.9915,86.9666
4.74,4.92,5.41,3.52,11586.2,9500.16,7,7,10,9,31572,1076.34,23.3232,87.601
2.69,1.16,0.67,5.42,11586.2,10170.9,6,6,7,9,20998,2858.37,56.3651,83.7687
4.4,1.38,0.88,4.87,11586.2,8765.44,7,6,8,9,23204,1768.2,39.6967,85.2913
2.27,4.4,5.31,0.75,11586.2,11343.4,6,7,9,7,16219,2794.42,42.8156,84.9628
1.85,0.53,5.53,3.79,11586.2,7728.64,6,6,10,9,29687,1227.67,32.2215,86.1974
2.42,0.57,5.51,5.34,11586.2,9492.48,6,6,10,9,29687,1227.67,32.2215,86.1974
4.56,3.5,1.03,1.3,11586.2,10393.6,6,7,8,7,13517,3651.63,48.5953,84.4129
1.92,2.03,0.77,2.23,11586.2,10291.2,6,6,7,8,15002,3306.04,60.3377,83.4729
0.59,4.34,5.36,3.04,11586.2,11494.4,5,7,10,8,24557,1459.11,32.6209,86.1439
2.82,1.09,0.7,4.86,11586.2,8248.32,6,6,8,9,22616,1839.21,42.6652,84.9781
1.31,2.02,0.82,4.84,11586.2,9374.72,5,6,8,9,22185,1712.2,45.3466,84.7134
2.54,2.82,2.5,3.68,11586.2,8422.4,6,7,9,9,26615,1232.9,30.784,86.3956
0.22,1.36,4.49,2.62,11586.2,11581.4,4,6,9,8,18745,1581.02,48.928,84.3833
4.09,5.09,2.15,2.72,11586.2,10901.8,7,7,9,8,21207,1467.63,31.4755,86.2991
2.71,3.96,4.02,2.74,11586.2,10044.2,7,7,10,8,25576,1351.11,26.9915,86.9666
0.54,1.2,2.92,2.36,11586.2,9328.64,5,6,9,8,18891,1806.92,43.0277,84.9414
3.73,5.3,0.6,0.88,11586.2,9730.56,6,7,7,7,11899,3777.34,62.0594,83.3508
