c0,c1,Requested_tolerance,estimated_error,l0,l1,Total_retrieve_size,MaxErr,MSE,PSNR
4.22,3.91,1.0152,0.7525,11,10,9679894,0.164651,0.000719574,51.5603
2.74,1.08,1.0152,0.8825,10,8,6838531,0.52741,0.00665487,41.8997
4.77,4.86,1.0152,0.905625,11,10,9679894,0.164651,0.000719574,51.5603
3.32,4.47,1.0152,0.76625,11,10,9679894,0.164651,0.000719574,51.5603
4.76,1.21,1.0152,0.9025,11,8,7193390,0.567064,0.00599177,42.3555
0.14,2.06,1.0152,0.795,6,9,6663644,1.54639,0.34554,24.7461
0.2,5.54,1.0152,0.8925,7,10,8265629,0.789651,0.0584071,32.4664
2.54,4.4,1.0152,0.70875,11,10,9679894,0.164651,0.000719574,51.5603
1.95,2.29,1.0152,0.81625,10,9,8059717,0.326594,0.00240575,46.3186
4.76,3.02,1.0152,0.90375,12,9,8769934,0.269401,0.00145703,48.4964
3.69,1.68,1.0152,0.650625,11,9,8414576,0.264094,0.00177291,47.6442
0.79,2.01,1.0152,0.7,9,9,7705432,0.328673,0.00817185,41.0079
3.79,4.03,1.0152,0.740625,11,10,9679894,0.164651,0.000719574,51.5603
3.76,5.4,1.0152,0.91,11,10,9679894,0.164651,0.000719574,51.5603
1.59,0.14,1.0152,0.9575,9,5,3452198,3.66193,0.361206,24.5535
3.66,2.16,1.0152,0.76875,11,9,8414576,0.264094,0.00177291,47.6442
4.56,2.38,1.0152,0.88,11,9,8414576,0.264094,0.00177291,47.6442
2.2,1.59,1.0152,0.9325,11,8,7193390,0.567064,0.00599177,42.3555
4.47,1.09,1.0152,0.824375,11,8,7193390,0.567064,0.00599177,42.3555
2.19,4.12,1.0152,0.78875,10,10,9325035,0.168592,0.00136684,48.7739
4.8,4.8,1.0152,0.9,11,10,9679894,0.164651,0.000719574,51.5603
3.53,1.41,1.0152,0.925625,11,8,7193390,0.567064,0.00599177,42.3555
3.68,4.03,1.0152,0.73375,11,10,9679894,0.164651,0.000719574,51.5603
