dname,drange,reqerr,threshold,c0,c1,c2,Total_retrieve_size,Compression_error
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.36,0.3,0.21,0.64,22484456,0.0316429
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.37,0.3,0.21,0.64,22484456,0.0316429
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.38,1.03,0.19,0.6,22587656,0.0315208
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.39,4.36,0.21,0.58,22690856,0.0313988
precipf48_log_3.58e-02.csv,35.801388,0.035801,0.4,4.07,0.19,0.58,22690856,0.0313988
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.01,3.24,0.23,1.5,5323738,2.49731
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.02,4.97,0.29,1.39,5323738,2.49731
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.03,4.97,0.29,1.39,5323738,2.49731
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.04,2.05,0.42,1.24,5272138,2.47994
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.05,5.54,0.47,1.19,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.06,3.7,0.22,1.42,5323738,2.49731
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.07,0.57,0.33,1.28,5168938,2.49557
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.08,0.57,0.23,1.36,5168938,2.49557
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.09,2.4,0.24,1.32,5272138,2.47994
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.1,0.31,0.28,1.27,5117338,2.62057
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.11,0.31,0.28,1.27,5117338,2.62057
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.12,0.46,0.34,1.18,5168938,2.49557
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.13,2.13,0.31,1.19,5272138,2.47994
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.14,3.38,0.25,1.24,5323738,2.49731
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.15,1.94,0.25,1.22,5272138,2.47994
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.16,1.94,0.25,1.22,5272138,2.47994
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.17,0.66,0.28,1.17,5220538,2.52682
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.18,3.77,0.3,1.11,5323738,2.49731
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.19,2.02,0.35,1.05,5272138,2.47994
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.2,2.02,0.35,1.05,5272138,2.47994
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.21,5.47,0.33,1.05,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.22,2.83,0.38,0.98,5323738,2.49731
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.23,2.83,0.38,0.98,5323738,2.49731
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.24,3.03,0.24,1.08,5323738,2.49731
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.25,1.72,0.35,0.94,5272138,2.47994
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.26,2.25,0.36,0.93,5323738,2.49731
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.27,5.11,0.23,1.04,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.28,4.08,0.37,0.89,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.29,4.5,0.34,0.9,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.3,4.5,0.34,0.9,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.31,1.05,0.27,0.94,5272138,2.47994
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.32,3.8,0.21,0.96,5323738,2.49731
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.33,3.8,0.21,0.96,5323738,2.49731
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.34,3.28,0.19,0.95,5323738,2.49731
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.35,3.28,0.19,0.95,5323738,2.49731
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.36,3.59,0.28,0.84,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.37,5.35,0.27,0.83,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.38,5.35,0.27,0.83,5375338,2.48775
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.39,1.16,0.24,0.82,5272138,2.47994
precipf48_log_3.58e+00.csv,35.801388,3.58014,0.4,1.16,0.24,0.82,5272138,2.47994
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.01,5.05,0.19,1.22,47110773,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.02,2.24,0.15,1.25,47059173,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.03,4.89,0.19,1.2,47110773,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.04,4.7,0.27,1.1,47110773,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.05,3.96,0.17,1.2,47110773,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.06,4.32,0.13,1.22,47110773,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.07,0.63,0.14,1.19,46955973,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.08,0.63,0.14,1.19,46955973,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.09,3.03,0.24,1.08,47110773,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.1,2.96,0.23,1.07,47110773,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.11,2.96,0.23,1.07,47110773,0.000323296
qgraupf48_log_3.57e-04.csv,35.765643,0.000357,0.12,5.11,0.23,1.04,47162373,0.000323296
