c0,c1,Requested_tolerance,estimated_error,l0,l1,Total_retrieve_size,MaxErr,MSE,PSNR
3.64,4.18,11586.2,8007.68,9,9,22235,1186.46,20.6461,88.1305
2.76,3.36,11586.2,9707.52,9,8,16239,1613.53,24.4072,87.4037
3.64,5.25,11586.2,9103.36,9,9,22235,1186.46,20.6461,88.1305
0.58,4.16,11586.2,10895.4,7,8,12573,3520.19,52.7312,84.0582
3.4,3.53,11586.2,10711,9,8,16239,1613.53,24.4072,87.4037
4.19,3.5,11586.2,11458.6,9,8,16239,1613.53,24.4072,87.4037
3.53,5.39,11586.2,9134.08,9,9,22235,1186.46,20.6461,88.1305
1.3,2.52,11586.2,7823.36,8,8,14281,2416.77,35.4238,85.7859
2.77,1.16,11586.2,10424.3,8,7,9881,3630.74,43.9802,84.8463
1.11,2.51,11586.2,7413.76,8,8,14281,2416.77,35.4238,85.7859
0.49,2.99,11586.2,8130.56,7,8,12573,3520.19,52.7312,84.0582
4.74,0.87,11586.2,8417.28,9,7,11839,3015.83,32.5649,86.1513
2.3,1.87,11586.2,10014.7,9,7,11839,3015.83,32.5649,86.1513
2.63,1.55,11586.2,9041.92,9,7,11839,3015.83,32.5649,86.1513
1.26,2.19,11586.2,11550.7,8,7,9881,3630.74,43.9802,84.8463
3.53,4.65,11586.2,8376.32,9,9,22235,1186.46,20.6461,88.1305
3.68,3.98,11586.2,7843.84,9,9,22235,1186.46,20.6461,88.1305
1.16,3.62,11586.2,9789.44,8,8,14281,2416.77,35.4238,85.7859
3.15,2.77,11586.2,8898.56,9,8,16239,1613.53,24.4072,87.4037
0.28,5.1,11586.2,6369.28,7,9,18569,2800.28,48.7127,84.4024
2.76,4.97,11586.2,7915.52,9,9,22235,1186.46,20.6461,88.1305
5.01,1.22,11586.2,10127.4,9,7,11839,3015.83,32.5649,86.1513
2.48,3.47,11586.2,9646.08,9,8,16239,1613.53,24.4072,87.4037
2.13,2.78,11586.2,10055.7,8,8,14281,2416.77,35.4238,85.7859
3.15,2.96,11586.2,9287.68,9,8,16239,1613.53,24.4072,87.4037
